Date,Price,Open,High,Low
"Feb 02, 2011",53.0,54.0,54.0,53.0
"Feb 03, 2011",54.0,54.0,54.0,54.0
"Feb 04, 2011",53.0,53.0,53.0,52.0
"Feb 07, 2011",54.0,53.0,54.0,53.0
"Feb 08, 2011",53.0,53.0,53.0,53.0
"Feb 09, 2011",53.0,55.0,56.0,53.0
"Feb 10, 2011",54.0,53.0,54.0,53.0
"Feb 11, 2011",54.0,53.0,54.0,53.0
"Feb 14, 2011",54.0,53.0,54.0,53.0
"Feb 15, 2011",54.0,53.0,55.0,53.0
"Feb 16, 2011",55.0,54.0,55.0,53.0
"Feb 17, 2011",53.0,55.0,55.0,53.0
"Feb 18, 2011",55.0,53.0,55.0,53.0
"Feb 21, 2011",54.0,53.0,54.0,53.0
"Feb 22, 2011",54.0,54.0,54.0,53.0
"Feb 23, 2011",54.0,54.0,54.0,53.0
"Feb 25, 2011",53.0,53.0,53.0,53.0
"Feb 28, 2011",54.0,54.0,54.0,53.0
"Mar 01, 2011",53.0,53.0,54.0,52.0
"Mar 02, 2011",53.0,53.0,54.0,53.0
"Mar 03, 2011",54.0,53.0,54.0,52.0
"Mar 04, 2011",54.0,54.0,55.0,54.0
"Mar 10, 2011",53.0,53.0,53.0,53.0
"Mar 11, 2011",53.0,54.0,54.0,53.0
"Mar 14, 2011",54.0,53.0,54.0,53.0
"Mar 15, 2011",53.0,53.0,53.0,52.0
"Mar 16, 2011",52.0,53.0,53.0,52.0
"Mar 17, 2011",53.0,52.0,53.0,52.0
"Mar 18, 2011",53.0,52.0,53.0,52.0
"Mar 21, 2011",52.0,52.0,52.0,52.0
"Mar 22, 2011",52.0,52.0,53.0,52.0
"Mar 23, 2011",53.0,53.0,53.0,52.0
"Mar 24, 2011",52.0,53.0,53.0,52.0
"Mar 25, 2011",53.0,53.0,53.0,53.0
"Mar 28, 2011",54.0,53.0,54.0,53.0
"Mar 29, 2011",54.0,53.0,54.0,53.0
"Mar 30, 2011",54.0,53.0,54.0,53.0
"Mar 31, 2011",53.0,54.0,54.0,53.0
"Apr 01, 2011",55.0,54.0,55.0,53.0
"Apr 04, 2011",54.0,54.0,55.0,53.0
"Apr 06, 2011",54.0,55.0,56.0,54.0
"Apr 07, 2011",54.0,54.0,54.0,54.0
"Apr 08, 2011",55.0,55.0,55.0,54.0
"Apr 11, 2011",52.0,53.0,53.0,52.0
"Apr 12, 2011",52.0,52.0,52.0,51.0
"Apr 13, 2011",51.0,52.0,52.0,51.0
"Apr 14, 2011",51.0,51.0,51.0,51.0
"Apr 15, 2011",51.0,52.0,52.0,50.0
"Apr 18, 2011",49.0,50.0,50.0,49.0
"Apr 19, 2011",50.0,50.0,50.0,49.0
"Apr 20, 2011",51.0,50.0,52.0,50.0
"Apr 25, 2011",50.0,51.0,51.0,50.0
"Apr 26, 2011",50.0,51.0,51.0,50.0
"Apr 27, 2011",50.0,50.0,51.0,50.0
"Apr 28, 2011",49.0,50.0,50.0,49.0
"Apr 29, 2011",49.0,50.0,50.0,49.0
"May 02, 2011",49.0,49.0,50.0,49.0
"May 03, 2011",48.0,50.0,50.0,48.0
"May 04, 2011",49.0,49.0,49.0,48.0
"May 05, 2011",48.0,48.0,49.0,48.0
"May 06, 2011",48.0,48.0,49.0,48.0
"May 09, 2011",47.0,48.0,48.0,47.0
"May 11, 2011",47.0,49.0,49.0,47.0
"May 12, 2011",48.0,47.0,48.0,47.0
"May 13, 2011",47.0,48.0,48.0,47.0
"May 17, 2011",47.0,47.0,47.0,47.0
"May 18, 2011",47.0,47.0,48.0,47.0
"May 19, 2011",47.0,47.0,47.0,47.0
"May 20, 2011",47.0,47.0,47.0,47.0
"May 23, 2011",47.0,46.0,47.0,46.0
"May 24, 2011",47.0,46.0,47.0,46.0
"May 25, 2011",47.0,46.0,47.0,46.0
"May 26, 2011",47.0,48.0,48.0,47.0
"May 27, 2011",47.0,47.0,48.0,47.0
"May 30, 2011",48.0,47.0,48.0,46.0
"May 31, 2011",47.0,48.0,50.0,47.0
"Jun 01, 2011",47.0,48.0,48.0,47.0
"Jun 02, 2011",47.0,47.0,47.0,47.0
"Jun 03, 2011",47.0,47.0,48.0,47.0
"Jun 06, 2011",47.0,47.0,48.0,47.0
"Jun 07, 2011",47.0,47.0,48.0,47.0
"Jun 08, 2011",47.0,47.0,48.0,47.0
"Jun 09, 2011",47.0,47.0,47.0,47.0
"Jun 10, 2011",47.0,46.0,47.0,46.0
"Jun 13, 2011",46.0,47.0,47.0,46.0
"Jun 14, 2011",47.0,47.0,47.0,46.0
"Jun 15, 2011",46.0,46.0,46.0,46.0
"Jun 16, 2011",46.0,46.0,47.0,46.0
"Jun 17, 2011",46.0,46.0,46.0,45.0
"Jun 20, 2011",46.0,46.0,46.0,45.0
"Jun 21, 2011",45.0,46.0,47.0,45.0
"Jun 22, 2011",46.0,45.0,46.0,45.0
"Jun 24, 2011",45.0,46.0,46.0,45.0
"Jun 27, 2011",45.0,45.0,46.0,45.0
"Jun 28, 2011",45.0,45.0,46.0,45.0
"Jun 29, 2011",46.0,46.0,47.0,45.0
"Jun 30, 2011",47.0,47.0,48.0,46.0
"Jul 01, 2011",47.0,47.0,48.0,47.0
"Jul 04, 2011",47.0,48.0,48.0,47.0
"Jul 05, 2011",46.0,47.0,47.0,46.0
"Jul 06, 2011",47.0,47.0,47.0,47.0
"Jul 07, 2011",47.0,47.0,48.0,46.0
"Jul 08, 2011",46.0,46.0,47.0,45.0
"Jul 11, 2011",45.0,46.0,46.0,45.0
"Jul 12, 2011",45.0,45.0,45.0,44.0
"Jul 13, 2011",45.0,44.0,45.0,44.0
"Jul 14, 2011",45.0,44.0,45.0,44.0
"Jul 15, 2011",45.0,45.0,45.0,44.0
"Jul 18, 2011",45.0,45.0,45.0,45.0
"Jul 19, 2011",48.0,46.0,52.0,46.0
"Jul 20, 2011",46.0,48.0,48.0,46.0
"Jul 21, 2011",46.0,46.0,47.0,45.0
"Jul 22, 2011",47.0,46.0,48.0,46.0
"Jul 25, 2011",46.0,46.0,46.0,46.0
"Jul 26, 2011",45.0,46.0,46.0,45.0
"Jul 27, 2011",43.0,45.0,45.0,42.0
"Jul 28, 2011",43.0,43.0,44.0,42.0
"Jul 29, 2011",43.0,44.0,44.0,43.0
"Aug 01, 2011",44.0,44.0,45.0,43.0
"Aug 02, 2011",44.0,44.0,44.0,43.0
"Aug 03, 2011",42.0,43.0,43.0,42.0
"Aug 04, 2011",40.0,43.0,43.0,40.0
"Aug 05, 2011",41.0,40.0,42.0,39.0
"Aug 08, 2011",39.0,39.0,39.0,38.0
"Aug 09, 2011",39.0,39.0,40.0,39.0
"Aug 10, 2011",40.0,40.0,41.0,39.0
"Aug 11, 2011",40.0,40.0,40.0,39.0
"Aug 12, 2011",41.0,40.0,41.0,40.0
"Aug 15, 2011",43.0,41.0,44.0,41.0
"Aug 16, 2011",43.0,43.0,43.0,42.0
