Date,Price,Open,High,Low
"Apr 02, 2013",22.0,22.0,23.5,21.5
"Apr 03, 2013",22.0,22.5,23.0,22.0
"Apr 04, 2013",21.5,22.0,22.0,21.5
"Apr 05, 2013",22.5,21.5,22.5,21.0
"Apr 08, 2013",22.5,22.0,23.0,21.0
"Apr 09, 2013",22.5,22.0,22.5,21.5
"Apr 10, 2013",22.5,22.5,23.0,22.0
"Apr 11, 2013",22.0,22.0,22.5,21.5
"Apr 12, 2013",22.0,22.0,22.0,22.0
"Apr 15, 2013",22.0,21.5,22.0,21.5
"Apr 16, 2013",21.0,22.0,22.0,21.0
"Apr 17, 2013",20.5,21.0,21.5,19.5
"Apr 18, 2013",20.5,20.5,20.5,20.0
"Apr 19, 2013",20.5,20.5,21.0,20.0
"Apr 22, 2013",20.5,20.0,21.0,20.0
"Apr 23, 2013",20.5,20.5,21.5,20.5
"Apr 24, 2013",21.0,20.5,21.5,20.5
"Apr 25, 2013",21.0,21.5,22.0,21.0
"Apr 26, 2013",21.0,21.0,21.0,21.0
"Apr 29, 2013",21.5,21.5,22.0,21.5
"Apr 30, 2013",21.5,21.5,22.0,21.5
"May 02, 2013",22.0,22.0,23.0,22.0
"May 03, 2013",23.5,22.0,23.5,22.0
"May 06, 2013",23.0,23.5,23.5,22.5
"May 07, 2013",22.0,22.5,23.0,21.5
"May 08, 2013",22.0,21.5,22.5,21.5
"May 09, 2013",22.5,22.0,22.5,22.0
"May 10, 2013",22.5,22.0,22.5,21.0
"May 13, 2013",22.0,22.0,22.5,21.5
"May 14, 2013",22.5,22.0,22.5,22.0
"May 15, 2013",23.0,22.5,23.0,22.0
"May 16, 2013",23.0,22.5,23.0,22.0
"May 17, 2013",22.5,22.5,23.0,22.5
"May 20, 2013",23.0,22.5,23.0,22.5
"May 21, 2013",24.0,23.5,24.0,22.5
"May 22, 2013",28.0,23.5,29.0,23.0
"May 23, 2013",26.0,27.0,28.0,25.0
"May 24, 2013",24.0,26.0,26.0,24.0
"May 27, 2013",26.0,24.0,26.5,23.0
"May 28, 2013",28.0,26.0,30.0,26.0
"May 29, 2013",28.5,29.0,31.5,27.5
"May 31, 2013",25.0,29.0,29.0,25.0
"Jun 03, 2013",25.5,26.0,27.0,24.0
"Jun 04, 2013",24.5,26.0,26.5,24.0
"Jun 05, 2013",24.5,25.0,25.5,24.5
"Jun 06, 2013",25.5,25.5,25.5,24.5
"Jun 07, 2013",25.0,25.0,25.5,24.5
"Jun 10, 2013",24.5,25.0,25.0,24.0
"Jun 11, 2013",23.0,24.0,24.0,22.0
"Jun 12, 2013",22.5,23.0,23.0,22.5
"Jun 13, 2013",23.5,22.5,24.0,22.5
"Jun 14, 2013",23.5,23.0,23.5,22.5
"Jun 17, 2013",22.5,23.0,23.0,22.0
"Jun 18, 2013",22.5,22.0,22.5,22.0
"Jun 19, 2013",22.0,22.0,22.0,21.5
